timestamp,Temperature (BME280) (°C),Humidity (BME280) (%),Pressure (BME280) (hPa),Light Intensity (BH1750) (lux),Lightning Detection (AS3935),Lightning Distance (AS3935) (km),Rain Event (LM393),Temperature (MCP9808) (°C),UV Index (GY-8511),Rain Accumulation (SEN0575) (mm),Wind Speed (Anemometer) (m/s),Wind Direction (Wind Vane) (deg),PM1.0 (PMSA003I) (µg/m³),PM2.5 (PMSA003I) (µg/m³),PM10.0 (PMSA003I) (µg/m³)
2025-03-02 14:44:19,,,,,,,,,,,,,19,34,38
2025-03-02 14:44:35,,,,,,,,,,,,,18,29,29
2025-03-02 14:44:50,,,,,,,,,,,,,17,28,28
2025-03-02 14:45:05,,,,,,,,,,,,,17,25,29
2025-03-02 14:45:20,,,,,,,,,,,,,16,25,26
2025-03-02 14:45:35,,,,,,,,,,,,,19,31,31
2025-03-02 14:45:50,,,,,,,,,,,,,18,28,29
2025-03-02 14:46:05,,,,,,,,,,,,,18,25,25
2025-03-02 14:46:20,,,,,,,,,,,,,18,25,26
2025-03-02 14:46:35,,,,,,,,,,,,,15,21,23
2025-03-02 14:46:50,,,,,,,,,,,,,15,23,27
2025-03-02 14:47:05,,,,,,,,,,,,,18,27,28
2025-03-02 14:47:20,,,,,,,,,,,,,16,26,28
2025-03-02 14:59:50,,,,,,,,,,,,,15,19,21
2025-03-02 15:00:05,,,,,,,,,,,,,12,16,18
2025-03-02 15:00:20,,,,,,,,,,,,,14,19,21
2025-03-02 15:00:35,,,,,,,,,,,,,12,17,19
2025-03-02 15:00:50,,,,,,,,,,,,,14,17,19
2025-03-02 15:01:05,,,,,,,,,,,,,15,19,21
2025-03-02 15:01:20,,,,,,,,,,,,,14,20,20
2025-03-02 15:01:35,,,,,,,,,,,,,11,15,15
2025-03-02 15:01:50,,,,,,,,,,,,,12,16,19
2025-03-02 15:02:05,,,,,,,,,,,,,10,13,13
2025-03-02 15:02:20,,,,,,,,,,,,,11,14,19
2025-03-02 15:02:35,,,,,,,,,,,,,13,17,18
2025-03-02 15:02:50,,,,,,,,,,,,,12,15,16
2025-03-02 15:03:05,,,,,,,,,,,,,14,21,21
2025-03-02 15:03:20,,,,,,,,,,,,,12,15,15
2025-03-02 15:03:35,,,,,,,,,,,,,11,15,15
2025-03-02 15:03:50,,,,,,,,,,,,,11,13,13
2025-03-02 15:04:05,,,,,,,,,,,,,11,13,13
2025-03-02 15:04:20,,,,,,,,,,,,,12,19,22
2025-03-02 15:04:35,,,,,,,,,,,,,12,14,14
2025-03-02 15:04:50,,,,,,,,,,,,,11,13,13
2025-03-02 15:05:05,,,,,,,,,,,,,12,16,16
2025-03-02 15:05:20,,,,,,,,,,,,,13,19,21
2025-03-02 15:05:35,,,,,,,,,,,,,13,16,16
2025-03-02 15:05:50,,,,,,,,,,,,,13,17,17
2025-03-02 15:06:20,,,,,,,,,,,,,10,14,14
2025-03-02 15:06:35,,,,,,,,,,,,,11,13,15
2025-03-02 15:06:50,,,,,,,,,,,,,9,12,12
2025-03-02 15:07:05,,,,,,,,,,,,,11,14,14
2025-03-02 15:07:20,,,,,,,,,,,,,13,15,15
2025-03-02 15:07:35,,,,,,,,,,,,,11,13,13
2025-03-02 15:07:50,,,,,,,,,,,,,10,13,13
2025-03-02 15:08:05,,,,,,,,,,,,,11,14,15
2025-03-02 15:08:20,,,,,,,,,,,,,11,14,14
2025-03-02 15:08:35,,,,,,,,,,,,,13,16,18
2025-03-02 15:08:50,,,,,,,,,,,,,11,17,17
2025-03-02 15:09:05,,,,,,,,,,,,,13,14,15
2025-03-02 15:09:20,,,,,,,,,,,,,12,13,13
2025-03-02 15:09:35,,,,,,,,,,,,,11,14,16
2025-03-02 15:09:50,,,,,,,,,,,,,11,15,16
2025-03-02 15:10:05,,,,,,,,,,,,,12,17,17
2025-03-02 15:10:20,,,,,,,,,,,,,10,13,13
2025-03-02 15:10:35,,,,,,,,,,,,,11,15,15
2025-03-02 15:10:50,,,,,,,,,,,,,10,13,13
2025-03-02 15:11:05,,,,,,,,,,,,,13,19,21
2025-03-02 15:11:20,,,,,,,,,,,,,9,13,14
2025-03-02 15:11:35,,,,,,,,,,,,,12,15,15
2025-03-02 15:11:50,,,,,,,,,,,,,9,11,11
2025-03-02 15:12:05,,,,,,,,,,,,,10,13,13
2025-03-02 15:12:20,,,,,,,,,,,,,12,14,14
2025-03-02 15:12:35,,,,,,,,,,,,,11,15,17
2025-03-02 15:12:50,,,,,,,,,,,,,11,13,17
2025-03-02 15:13:05,,,,,,,,,,,,,11,14,14
2025-03-02 15:13:20,,,,,,,,,,,,,12,15,15
2025-03-02 15:13:35,,,,,,,,,,,,,12,15,16
2025-03-02 15:13:50,,,,,,,,,,,,,13,16,16
2025-03-02 15:14:05,,,,,,,,,,,,,10,17,17
2025-03-02 15:14:21,,,,,,,,,,,,,10,14,14
2025-03-02 15:14:36,,,,,,,,,,,,,9,11,13
2025-03-02 15:14:51,,,,,,,,,,,,,11,12,15
2025-03-02 15:15:06,,,,,,,,,,,,,10,18,19
2025-03-02 15:15:21,,,,,,,,,,,,,9,13,13
2025-03-02 15:15:36,,,,,,,,,,,,,11,12,12
2025-03-02 15:15:51,,,,,,,,,,,,,10,12,12
